id,loan_status,Usage
35943,0,Private
38576,0,
38272,0,
16486,1,
54229,0,
46866,0,
49440,0,
13722,0,
41336,1,
48293,0,
48739,1,
21490,0,
32889,0,
43060,1,
5076,0,
37255,0,
12595,0,
56758,0,
19731,0,
3862,0,
20020,0,
15029,0,
5321,1,
17543,0,
50233,0,
43633,0,
52786,0,
48770,0,
23418,0,
52209,0,
43195,0,
31407,0,
46913,1,
35519,0,
48179,0,
48052,0,
31420,0,
12754,0,
23788,0,
17687,0,
41871,1,
14628,0,
15673,0,
55688,0,
18344,1,
8492,0,
6038,0,
51357,0,
598,0,
50131,0,
36503,0,
23410,0,
22773,0,
43957,0,
23996,1,
38493,0,
19719,1,
29594,1,
13712,0,
8197,0,
30997,0,
25955,0,
27112,0,
27947,0,
9742,0,
7598,0,
32173,0,
51347,0,
40284,0,
28081,0,
14700,0,
47891,0,
57360,0,
17311,0,
8361,0,
11684,0,
5003,0,
51877,0,
35582,0,
58042,0,
17872,0,
26311,0,
44505,0,
34429,0,
39354,1,
25134,0,
15170,0,
53017,1,
31122,0,
16161,1,
11978,0,
48283,0,
1161,1,
33935,1,
45093,0,
57271,0,
50010,0,
17573,1,
6577,1,
23752,1,
4364,0,
31170,0,
44981,0,
1182,0,
35541,0,
17363,0,
21745,0,
19340,0,
57838,0,
1398,0,
39996,1,
44153,0,
43611,0,
27450,0,
46276,0,
29099,0,
57075,0,
312,0,
679,1,
44690,0,
39376,1,
48441,0,
47179,0,
23366,0,
44284,0,
57178,0,
49154,0,
18946,0,
29217,0,
46496,1,
31212,0,
24098,0,
32180,0,
42254,0,
29731,0,
4669,0,
7463,0,
46025,0,
27681,0,
17813,0,
18748,0,
42430,0,
35801,0,
33152,0,
49476,0,
28450,1,
12533,1,
37809,0,
51177,0,
40463,0,
4225,0,
19899,0,
43602,0,
13795,1,
19764,0,
9489,1,
4772,0,
40244,0,
26436,0,
56446,0,
58560,0,
47987,0,
5527,0,
16724,0,
29948,0,
36720,1,
12463,1,
33044,0,
54958,0,
2780,0,
1037,0,
53562,0,
4265,0,
40029,1,
15166,0,
9106,0,
52775,0,
24155,0,
31061,0,
9988,0,
3057,0,
50435,0,
35242,0,
5680,0,
2428,0,
47997,1,
29890,0,
17636,0,
30781,0,
40811,1,
45095,0,
12974,0,
40362,0,
21789,0,
50008,1,
36924,0,
11996,0,
37971,0,
11245,0,
15646,0,
13861,0,
15276,1,
37632,1,
19909,0,
36707,0,
4990,0,
28138,0,
33214,0,
4584,0,
745,0,
22416,0,
3306,0,
24956,0,
12296,0,
20889,0,
33267,0,
13626,0,
33189,0,
733,1,
1453,0,
25691,0,
40695,1,
43601,0,
36287,0,
30095,0,
57602,0,
53105,0,
29563,0,
18455,0,
40744,1,
50710,0,
9532,0,
6925,0,
33938,1,
51423,0,
34793,0,
46060,1,
31471,0,
28733,0,
39384,1,
24935,1,
35345,0,
55228,0,
55809,0,
26859,0,
35722,0,
15182,0,
10665,0,
15499,0,
50369,0,
33370,0,
14901,0,
714,0,
14682,0,
14893,0,
49473,0,
40257,1,
43540,0,
48552,0,
27571,0,
43104,0,
25704,0,
29493,0,
39466,1,
15844,0,
27268,0,
6586,0,
51751,0,
37580,1,
15647,0,
41934,0,
5000,0,
19161,0,
13950,0,
18708,0,
47382,0,
17722,0,
44820,0,
10816,0,
13009,0,
13933,0,
43076,0,
27150,0,
27696,1,
49930,0,
24485,0,
36964,0,
31929,0,
50263,1,
17320,1,
29097,0,
38016,0,
22380,0,
13231,0,
14745,1,
6644,0,
52956,0,
7326,0,
23119,0,
55256,0,
10408,0,
22558,0,
6056,0,
24109,0,
54876,0,
57230,0,
29180,0,
11090,0,
55347,0,
53280,1,
7084,0,
7785,0,
31528,0,
46377,0,
50677,0,
26443,0,
25378,0,
27515,0,
53839,0,
42157,0,
35283,0,
9858,0,
24864,0,
20928,0,
8134,0,
891,0,
51991,1,
30948,0,
55114,0,
25834,0,
37785,0,
14416,0,
26307,0,
54931,0,
13528,0,
39600,0,
20172,0,
16794,1,
20317,1,
55545,1,
51503,0,
52677,0,
57653,0,
38588,0,
44542,0,
48393,0,
49443,0,
58237,1,
42354,0,
55042,0,
58538,0,
38296,0,
7092,0,
57546,0,
12204,1,
4845,0,
28740,1,
47973,0,
34519,0,
55296,0,
41757,0,
45412,1,
14386,0,
4155,1,
14509,0,
26675,0,
32235,0,
51984,0,
2852,0,
1674,0,
7931,0,
22049,1,
44805,0,
28886,0,
1053,0,
54453,0,
34045,0,
18992,0,
34530,0,
16788,1,
54057,0,
24244,0,
13702,0,
55910,0,
32880,1,
30714,0,
20109,0,
43402,0,
28430,0,
16999,1,
44240,0,
16547,0,
2771,0,
28246,0,
36921,0,
24549,0,
33074,0,
55848,0,
5815,0,
6985,0,
6679,0,
1030,0,
21634,0,
9285,0,
11784,0,
32831,0,
38727,0,
39118,0,
57872,0,
43737,0,
39130,0,
56357,0,
9067,0,
50784,0,
37825,0,
43323,0,
29861,0,
30700,0,
58079,0,
23489,1,
42090,0,
43382,0,
29082,0,
50688,0,
3427,0,
54332,0,
17376,0,
40265,0,
5922,0,
50382,0,
14255,1,
10929,0,
11350,0,
47510,0,
30735,0,
7282,0,
4497,0,
40475,0,
38967,0,
2947,0,
14670,0,
18997,0,
26518,0,
52817,0,
17392,0,
38276,0,
41894,0,
46355,0,
42841,0,
3718,0,
57657,0,
12726,0,
11525,0,
14510,0,
300,0,
39923,0,
6356,0,
2890,1,
47992,0,
42616,1,
7662,1,
38778,0,
8565,0,
36835,0,
33515,0,
39002,0,
32006,0,
15582,0,
20998,0,
35272,0,
55155,0,
38059,0,
4544,0,
39887,0,
11434,0,
46424,0,
37674,0,
30346,0,
19715,1,
1317,1,
39811,1,
26213,0,
28205,0,
57037,0,
24690,0,
27698,0,
45279,1,
15965,0,
2898,0,
38645,0,
3102,0,
34235,1,
18963,0,
30024,0,
5055,0,
54899,0,
15012,0,
38960,0,
18424,0,
7344,0,
25411,0,
50169,0,
12951,0,
3210,0,
44680,0,
55349,0,
51320,1,
21171,0,
5825,0,
15517,0,
4503,0,
32350,0,
17081,0,
23474,0,
12074,0,
12928,0,
19131,1,
38896,0,
33809,0,
19752,1,
5867,0,
15931,0,
48107,0,
44564,0,
12449,1,
7620,0,
28266,0,
704,1,
19997,0,
50012,0,
24998,0,
7308,0,
23008,0,
45335,0,
17152,0,
45234,0,
54492,0,
43225,0,
10636,0,
57096,0,
38831,0,
23127,0,
15796,0,
55830,0,
36044,0,
31017,0,
38322,0,
27204,0,
1326,0,
4553,0,
11914,0,
27963,0,
48855,0,
13277,0,
38310,0,
7066,0,
37062,0,
46212,0,
57951,0,
41906,0,
18917,0,
23310,0,
15467,0,
9473,0,
9675,0,
47689,0,
46429,0,
46861,0,
5838,0,
15278,0,
31176,0,
44339,0,
48768,0,
33926,0,
49195,0,
25545,0,
21071,0,
38810,0,
24033,0,
19104,0,
51946,0,
35334,0,
6004,0,
23216,1,
32992,0,
36881,0,
33056,0,
25998,0,
29776,0,
48127,0,
38641,0,
45059,0,
28914,0,
48181,0,
48627,0,
